event,group,pvalue,up_group,qvalue
b_cells_naive,logdenPD1_def0,0.29677671431043,Low,0.804298660812915
b_cells_naive,logdenPD1_def2,0.13401562453941498,High,0.995307362099408
b_cells_naive,logdenPT_L_def0,0.0518826782794277,Low,0.540576891042257
b_cells_naive,logdenPT_L_def2,0.538197856731383,High,1.0
b_cells_naive,logdenPT_L_def4,0.7230979304358309,Low,1
b_cells_naive,perPD1_def0,0.5663314354924189,Low,0.904850567714896
b_cells_naive,perPD1_def2,0.665122699509126,Low,0.899871887571171
b_cells_naive,perPD1_def4,0.0880787414807214,Low,0.320436938799553
b_cells_naive,perPT_L_def0,0.4176274198039939,Low,0.8300191724647741
b_cells_naive,perPT_L_def2,0.0514877465032336,Low,0.5921090847871869
b_cells_naive,perPT_L_def4,0.39870806387051894,Low,0.919732738067351
b_cells_memory,logdenPD1_def0,0.520146436295395,High,0.804298660812915
b_cells_memory,logdenPD1_def2,0.0281917910801871,Low,0.648411194844304
b_cells_memory,logdenPT_L_def0,0.256415920158833,High,0.64562016009828
b_cells_memory,logdenPT_L_def2,0.0682802730063064,Low,0.8062377293138709
b_cells_memory,logdenPT_L_def4,0.71020978415818,Low,1
b_cells_memory,perPD1_def0,0.8484173099490679,Low,0.9292189585156461
b_cells_memory,perPD1_def2,0.930553505489638,High,1.0
b_cells_memory,perPD1_def4,0.268736741481089,High,0.5078448336574911
b_cells_memory,perPT_L_def0,0.8712308332025871,Low,0.9757544936293221
b_cells_memory,perPT_L_def2,0.233269283464065,High,0.7664362885460241
b_cells_memory,perPT_L_def4,0.957174034575694,High,0.9938791244144949
plasma_cells,logdenPD1_def0,0.637197256708759,High,0.804298660812915
plasma_cells,logdenPD1_def2,0.3864620525585061,High,0.995307362099408
plasma_cells,logdenPT_L_def0,0.135051155786075,High,0.540576891042257
plasma_cells,logdenPT_L_def2,0.936085287417958,Low,1.0
plasma_cells,logdenPT_L_def4,0.40191691589451,High,1
plasma_cells,perPD1_def0,0.258706753606824,High,0.595025533295694
plasma_cells,perPD1_def2,0.42541317856555894,High,0.868275563565319
