event,group,pvalue,up_group,qvalue
Angio,logden_PD1_def0,0.0536862996269765,Low,0.0536862996269765
Angio,logden_PD1_def2,0.7021514385441141,Low,0.7021514385441141
Angio,logden_PT_L_def0,0.0442871366404996,Low,0.0442871366404996
Angio,logden_PT_L_def2,0.462294053166596,Low,0.462294053166596
Angio,logden_PT_L_def4,0.5510100817518411,Low,0.5510100817518411
Angio,perPD1_def0,0.0386618498230947,Low,0.0386618498230947
Angio,perPD1_def2,0.41198470243524105,Low,0.41198470243524105
Angio,perPD1_def4,0.150793113857706,Low,0.150793113857706
Angio,perPT_L_def0,0.492847013573285,Low,0.492847013573285
Angio,perPT_L_def2,0.271619042714693,Low,0.271619042714693
Angio,perPT_L_def4,0.377659285493568,High,0.377659285493568
Teff,logden_PD1_def0,0.875081683026793,High,0.875081683026793
Teff,logden_PD1_def2,0.0119796032399874,High,0.0119796032399874
Teff,logden_PT_L_def0,0.328277243851337,High,0.328277243851337
Teff,logden_PT_L_def2,0.00595412774259761,High,0.00595412774259761
Teff,logden_PT_L_def4,0.16945379172458,High,0.16945379172458
Teff,perPD1_def0,0.434256269854804,Low,0.434256269854804
Teff,perPD1_def2,0.7316981684750721,High,0.7316981684750721
Teff,perPD1_def4,0.296504351702841,High,0.296504351702841
Teff,perPT_L_def0,0.950288624086664,High,0.950288624086664
Teff,perPT_L_def2,0.11510590595152699,High,0.11510590595152699
Teff,perPT_L_def4,0.8599455574410741,High,0.8599455574410741
Javelin,logden_PD1_def0,0.9885973820552729,High,0.9885973820552729
Javelin,logden_PD1_def2,0.0212036745926461,High,0.0212036745926461
Javelin,logden_PT_L_def0,0.581910271425245,High,0.581910271425245
Javelin,logden_PT_L_def2,0.0114626887221882,High,0.0114626887221882
Javelin,logden_PT_L_def4,0.5743325858891309,High,0.5743325858891309
Javelin,perPD1_def0,0.5430766918015251,Low,0.5430766918015251
Javelin,perPD1_def2,0.5807399043268411,Low,0.5807399043268411
Javelin,perPD1_def4,0.268736741481089,High,0.268736741481089
Javelin,perPT_L_def0,0.774277765174806,High,0.774277765174806
Javelin,perPT_L_def2,0.7175239772363969,High,0.7175239772363969
Javelin,perPT_L_def4,0.411734163312715,Low,0.411734163312715
Merck18,logden_PD1_def0,0.8526093418339481,High,0.8526093418339481
Merck18,logden_PD1_def2,0.0027232840909648197,High,0.0027232840909648197
Merck18,logden_PT_L_def0,0.761592712781761,High,0.761592712781761
Merck18,logden_PT_L_def2,0.00333632454749287,High,0.00333632454749287
Merck18,logden_PT_L_def4,0.23647118469301998,High,0.23647118469301998
Merck18,perPD1_def0,0.414110491966526,Low,0.414110491966526
Merck18,perPD1_def2,0.526190159222455,High,0.526190159222455
Merck18,perPD1_def4,0.686865180341466,High,0.686865180341466
Merck18,perPT_L_def0,0.492847013573285,Low,0.492847013573285
Merck18,perPT_L_def2,0.276696274269289,High,0.276696274269289
Merck18,perPT_L_def4,0.628881551343383,High,0.628881551343383
CytolyticActivity,logden_PD1_def0,0.616931296620409,Low,0.616931296620409
CytolyticActivity,logden_PD1_def2,0.0273294302880022,High,0.0273294302880022
CytolyticActivity,logden_PT_L_def0,0.955195767393128,Low,0.955195767393128
CytolyticActivity,logden_PT_L_def2,0.0137634737565673,High,0.0137634737565673
CytolyticActivity,logden_PT_L_def4,0.462639521046565,High,0.462639521046565
CytolyticActivity,perPD1_def0,0.113824473937074,Low,0.113824473937074
CytolyticActivity,perPD1_def2,0.7316981684750721,High,0.7316981684750721
CytolyticActivity,perPD1_def4,0.671722368184109,High,0.671722368184109
CytolyticActivity,perPT_L_def0,0.477254415353413,Low,0.477254415353413
CytolyticActivity,perPT_L_def2,0.36049399013260497,High,0.36049399013260497
CytolyticActivity,perPT_L_def4,0.835908888727093,Low,0.835908888727093
TGFB,logden_PD1_def0,0.48374878217554496,Low,0.48374878217554496
TGFB,logden_PD1_def2,0.12563876453325598,High,0.12563876453325598
TGFB,logden_PT_L_def0,0.8134559867589342,High,0.8134559867589342
TGFB,logden_PT_L_def2,0.11920381737416999,High,0.11920381737416999
TGFB,logden_PT_L_def4,0.671987438724646,High,0.671987438724646
TGFB,perPD1_def0,0.0629912111256114,Low,0.0629912111256114
TGFB,perPD1_def2,0.7316981684750721,Low,0.7316981684750721
TGFB,perPD1_def4,0.909476796321357,Low,0.909476796321357
TGFB,perPT_L_def0,0.8127278009880509,Low,0.8127278009880509
TGFB,perPT_L_def2,0.28183696367346694,Low,0.28183696367346694
TGFB,perPT_L_def4,0.628881551343383,High,0.628881551343383
F_TBRS,logden_PD1_def0,0.367924672075879,Low,0.367924672075879
F_TBRS,logden_PD1_def2,0.57607197999223,High,0.57607197999223
F_TBRS,logden_PT_L_def0,0.883860889640799,High,0.883860889640799
F_TBRS,logden_PT_L_def2,0.8290489085801309,Low,0.8290489085801309
F_TBRS,logden_PT_L_def4,0.646961782086518,High,0.646961782086518
F_TBRS,perPD1_def0,0.08538811331093699,Low,0.08538811331093699
F_TBRS,perPD1_def2,0.36080571383143,Low,0.36080571383143
F_TBRS,perPD1_def4,0.8443062299040799,High,0.8443062299040799
F_TBRS,perPT_L_def0,0.7934400183085071,Low,0.7934400183085071
F_TBRS,perPT_L_def2,0.36049399013260497,Low,0.36049399013260497
F_TBRS,perPT_L_def4,0.420529596626854,High,0.420529596626854
Stem_CD8,logden_PD1_def0,0.258884186243247,High,0.258884186243247
Stem_CD8,logden_PD1_def2,0.144332821781902,High,0.144332821781902
Stem_CD8,logden_PT_L_def0,0.0397526854264593,High,0.0397526854264593
Stem_CD8,logden_PT_L_def2,0.0663838887443093,High,0.0663838887443093
Stem_CD8,logden_PT_L_def4,0.35516607182108095,High,0.35516607182108095
Stem_CD8,perPD1_def0,0.49797978137787297,High,0.49797978137787297
Stem_CD8,perPD1_def2,0.7847719621592399,High,0.7847719621592399
Stem_CD8,perPD1_def4,0.0532516458420898,High,0.0532516458420898
Stem_CD8,perPT_L_def0,0.236198447663678,High,0.236198447663678
Stem_CD8,perPT_L_def2,0.41100698371431393,High,0.41100698371431393
Stem_CD8,perPT_L_def4,0.77653005574847,Low,0.77653005574847
Exhausted_CD8,logden_PD1_def0,0.596953005832915,Low,0.596953005832915
Exhausted_CD8,logden_PD1_def2,0.00808601408465868,High,0.00808601408465868
Exhausted_CD8,logden_PT_L_def0,0.42498472110290103,High,0.42498472110290103
Exhausted_CD8,logden_PT_L_def2,0.00395163619716265,High,0.00395163619716265
Exhausted_CD8,logden_PT_L_def4,0.392282623015317,High,0.392282623015317
Exhausted_CD8,perPD1_def0,0.21731088071899698,Low,0.21731088071899698
Exhausted_CD8,perPD1_def2,0.958298805496117,Low,0.958298805496117
Exhausted_CD8,perPD1_def4,0.686865180341466,High,0.686865180341466
Exhausted_CD8,perPT_L_def0,0.755252059583115,High,0.755252059583115
Exhausted_CD8,perPT_L_def2,0.82282422028067,Low,0.82282422028067
Exhausted_CD8,perPT_L_def4,0.36942003757346104,High,0.36942003757346104
